EpiRR,states,annotated_probs,corrected_probs,annotated,corrected
IHECRE00004616.1,1,0.99,0.99,NS,NS
IHECRE00004616.1,2,0.99,0.99,Pr,Pr
IHECRE00004616.1,3,0.22,0.22,Tx_Str,Tx_Str
IHECRE00004616.1,4,0.36,0.36,ReprPC,ReprPC
IHECRE00004616.1,5,0.4,0.4,Het_F,Het_F
IHECRE00004616.1,6,0.38,0.38,Tx_Wk,Tx_Wk
IHECRE00004616.1,7,0.57,0.57,Het_C,Het_C
IHECRE00004616.1,8,0.48,0.48,Enh,Enh
IHECRE00004616.1,9,0.35,0.32,Tx_Str,Mix
IHECRE00004616.1,10,0.3,0.3,Rep,Rep
IHECRE00000285.2,1,0.97,0.97,Tx_Str,Tx_Str
IHECRE00000285.2,2,0.71,0.71,Tx_Wk,Tx_Wk
IHECRE00000285.2,3,0.43,0.43,Het_F,Het_F
IHECRE00000285.2,4,1,1,NS,NS
IHECRE00000285.2,5,0.3,0.23,ReprPC,Rep
IHECRE00000285.2,6,0.5,0.5,Enh,Enh
IHECRE00000285.2,7,0.96,0.96,Pr,Pr
IHECRE00000285.2,8,1,1,Het_C,Het_C
IHECRE00000285.2,9,0.33,0.31,Het_F,Mix
IHECRE00000285.2,10,0.91,0.91,ReprPC,ReprPC
IHECRE00000318.2,1,1,1,NS,NS
IHECRE00000318.2,2,0.42,0.42,Rep,Rep
IHECRE00000318.2,3,0.39,0.32,Rep,Mix
IHECRE00000318.2,4,0.68,0.68,Tx_Wk,Tx_Wk
IHECRE00000318.2,5,0.94,0.94,Tx_Str,Tx_Str
IHECRE00000318.2,6,1,1,Pr,Pr
IHECRE00000318.2,7,1,1,Het_C,Het_C
IHECRE00000318.2,8,0.59,0.59,Het_F,Het_F
IHECRE00000318.2,9,1,1,Enh,Enh
IHECRE00000318.2,10,0.96,0.96,ReprPC,ReprPC
IHECRE00001907.1,1,1,1,NS,NS
IHECRE00001907.1,2,1,1,Tx_Str,Tx_Str
IHECRE00001907.1,3,1,1,Het_C,Het_C
IHECRE00001907.1,4,0.97,0.97,Enh,Enh
IHECRE00001907.1,5,0.94,0.94,Tx_Wk,Tx_Wk
IHECRE00001907.1,6,1,1,Pr,Pr
IHECRE00001907.1,7,0.77,0.77,Mix,Mix
IHECRE00001907.1,8,0.91,0.91,Het_F,Het_F
IHECRE00001907.1,9,0.96,0.96,ReprPC,ReprPC
IHECRE00001907.1,10,0.92,0.92,Rep,Rep
IHECRE00000237.3,1,0.42,0.42,Het_C,Het_C
IHECRE00000237.3,2,0.31,0.31,Rep,Rep
IHECRE00000237.3,3,0.95,0.95,NS,NS
IHECRE00000237.3,4,0.31,0.29,Rep,Het_F
IHECRE00000237.3,5,0.48,0.11,ReprPC,Mix
IHECRE00000237.3,6,0.8,0.8,Tx_Str,Tx_Str
IHECRE00000237.3,7,0.86,0.86,Pr,Pr
IHECRE00000237.3,8,0.4,0.4,Tx_Wk,Tx_Wk
IHECRE00000237.3,9,0.39,0.39,Enh,Enh
IHECRE00000237.3,10,0.65,0.65,ReprPC,ReprPC
IHECRE00000161.3,1,0.44,0.16,ReprPC,Tx_Wk
IHECRE00000161.3,2,0.26,0.26,Het_F,Het_F
IHECRE00000161.3,3,0.74,0.74,ReprPC,ReprPC
IHECRE00000161.3,4,0.63,0.63,Rep,Rep
IHECRE00000161.3,5,0.51,0.51,Mix,Mix
IHECRE00000161.3,6,0.49,0.49,Enh,Enh
IHECRE00000161.3,7,0.99,0.99,NS,NS
IHECRE00000161.3,8,0.77,0.77,Het_C,Het_C
IHECRE00000161.3,9,0.97,0.97,Pr,Pr
IHECRE00000161.3,10,0.95,0.95,Tx_Str,Tx_Str
IHECRE00000043.3,1,0.96,0.96,Het_C,Het_C
IHECRE00000043.3,2,0.93,0.93,ReprPC,ReprPC
IHECRE00000043.3,3,0.97,0.97,Tx_Str,Tx_Str
IHECRE00000043.3,4,1,1,NS,NS
IHECRE00000043.3,5,1,1,Pr,Pr
IHECRE00000043.3,6,0.65,0.65,Rep,Rep
IHECRE00000043.3,7,0.42,0.39,Rep,Het_F
IHECRE00000043.3,8,0.38,0.38,Mix,Mix
IHECRE00000043.3,9,0.69,0.69,Enh,Enh
IHECRE00000043.3,10,0.52,0.52,Tx_Wk,Tx_Wk
IHECRE00001548.1,1,0.39,0.05,ReprPC,Mix
IHECRE00001548.1,2,1,1,NS,NS
IHECRE00001548.1,3,0.99,0.99,Pr,Pr
IHECRE00001548.1,4,0.57,0.57,ReprPC,ReprPC
IHECRE00001548.1,5,0.84,0.84,Rep,Rep
IHECRE00001548.1,6,0.81,0.81,Het_F,Het_F
IHECRE00001548.1,7,0.38,0.38,Enh,Enh
IHECRE00001548.1,8,0.96,0.96,Het_C,Het_C
IHECRE00001548.1,9,0.8,0.8,Tx_Wk,Tx_Wk
IHECRE00001548.1,10,0.99,0.99,Tx_Str,Tx_Str
IHECRE00003838.5,1,0.47,0.47,Enh,Enh
IHECRE00003838.5,2,0.69,0.69,Rep,Rep
IHECRE00003838.5,3,0.39,0.07,Het_C,Mix
IHECRE00003838.5,4,0.99,0.99,NS,NS
IHECRE00003838.5,5,1,1,Pr,Pr
IHECRE00003838.5,6,0.53,0.53,Het_F,Het_F
IHECRE00003838.5,7,0.65,0.65,ReprPC,ReprPC
IHECRE00003838.5,8,0.47,0.47,Tx_Wk,Tx_Wk
IHECRE00003838.5,9,0.42,0.42,Het_C,Het_C
IHECRE00003838.5,10,0.98,0.98,Tx_Str,Tx_Str
IHECRE00001956.2,1,1,1,NS,NS
IHECRE00001956.2,2,0.69,0.69,Enh,Enh
IHECRE00001956.2,3,0.46,0.46,Het_F,Het_F
IHECRE00001956.2,4,0.83,0.83,ReprPC,ReprPC
IHECRE00001956.2,5,0.63,0.63,Het_C,Het_C
IHECRE00001956.2,6,0.57,0.57,Mix,Mix
IHECRE00001956.2,7,0.61,0.61,Tx_Wk,Tx_Wk
IHECRE00001956.2,8,0.98,0.98,Pr,Pr
IHECRE00001956.2,9,0.96,0.96,Tx_Str,Tx_Str
IHECRE00001956.2,10,0.48,0.28,Het_C,Rep
IHECRE00000095.3,1,0.48,0.37,Het_F,Rep
IHECRE00000095.3,2,0.88,0.88,Enh,Enh
IHECRE00000095.3,3,0.73,0.73,Mix,Mix
IHECRE00000095.3,4,0.33,0.33,Het_F,Het_F
IHECRE00000095.3,5,0.55,0.55,Tx_Wk,Tx_Wk
IHECRE00000095.3,6,0.96,0.96,ReprPC,ReprPC
IHECRE00000095.3,7,0.98,0.98,Pr,Pr
IHECRE00000095.3,8,0.87,0.87,Het_C,Het_C
IHECRE00000095.3,9,0.99,0.99,Tx_Str,Tx_Str
IHECRE00000095.3,10,0.97,0.97,NS,NS
IHECRE00000171.3,1,0.35,0.35,Rep,Rep
IHECRE00000171.3,2,0.43,0.43,Het_C,Het_C
IHECRE00000171.3,3,0.91,0.91,Tx_Str,Tx_Str
IHECRE00000171.3,4,0.99,0.99,NS,NS
IHECRE00000171.3,5,0.94,0.94,Pr,Pr
IHECRE00000171.3,6,0.94,0.94,ReprPC,ReprPC
IHECRE00000171.3,7,0.57,0.57,Het_F,Het_F
IHECRE00000171.3,8,0.42,0.1,Het_F,Mix
IHECRE00000171.3,9,0.73,0.73,Tx_Wk,Tx_Wk
IHECRE00000171.3,10,0.98,0.98,Enh,Enh
IHECRE00000129.3,1,1,1,NS,NS
IHECRE00000129.3,2,1,1,Pr,Pr
IHECRE00000129.3,3,0.51,0.51,Mix,Mix
IHECRE00000129.3,4,0.27,0.24,Het_C,Het_F
IHECRE00000129.3,5,0.99,0.99,Tx_Str,Tx_Str
IHECRE00000129.3,6,0.78,0.78,Het_C,Het_C
IHECRE00000129.3,7,0.95,0.95,ReprPC,ReprPC
IHECRE00000129.3,8,0.92,0.92,Enh,Enh
IHECRE00000129.3,9,0.64,0.64,Tx_Wk,Tx_Wk
IHECRE00000129.3,10,0.67,0.67,Rep,Rep
IHECRE00004888.1,1,1,1,NS,NS
IHECRE00004888.1,2,0.94,0.94,Pr,Pr
IHECRE00004888.1,3,0.31,0.31,Mix,Mix
IHECRE00004888.1,4,0.84,0.84,Tx_Str,Tx_Str
