ihec_epirrid	cohort	cell_type	annotated	corrected	states	manual_corrected	annotated_probs	corrected_probs
IHECRE00001907.1	DEEP	macrophage	NS	NS	1	NS	0.93	0.93
IHECRE00001907.1	DEEP	macrophage	Tx_Str	Tx_Str	2	Tx_Str	0.89	0.89
IHECRE00001907.1	DEEP	macrophage	Het_C	Het_C	3	Het_C	0.93	0.93
IHECRE00001907.1	DEEP	macrophage	Enh	Enh	4	Enh	0.42	0.42
IHECRE00001907.1	DEEP	macrophage	Tx_Wk	Tx_Wk	5	Tx_Wk	0.74	0.74
IHECRE00001907.1	DEEP	macrophage	Pr	Pr	6	Pr	0.96	0.96
IHECRE00001907.1	DEEP	macrophage	Rep	Rep	7	Mix	0.35	0.35
IHECRE00001907.1	DEEP	macrophage	Het_F	Het_F	8	Het_F	0.57	0.57
IHECRE00001907.1	DEEP	macrophage	Pr	ReprPC	9	ReprPC	0.39	0.18
IHECRE00001907.1	DEEP	macrophage	ReprPC	Mix	10	Rep	0.34	0.22
IHECRE00001936.1	DEEP	macrophage	ReprPC	ReprPC	1	ReprPC	0.76	0.76
IHECRE00001936.1	DEEP	macrophage	NS	NS	2	NS	0.97	0.97
IHECRE00001936.1	DEEP	macrophage	Tx_Wk	Enh	3	Enh	0.49	0.27
IHECRE00001936.1	DEEP	macrophage	Pr	Pr	4	Pr	0.94	0.94
IHECRE00001936.1	DEEP	macrophage	Mix	Mix	5	Mix	0.45	0.45
IHECRE00001936.1	DEEP	macrophage	Het_C	Het_C	6	Het_C	0.89	0.89
IHECRE00001936.1	DEEP	macrophage	ReprPC	Het_F	7	Het_F	0.48	0.28
IHECRE00001936.1	DEEP	macrophage	Rep	Rep	8	Rep	0.77	0.77
IHECRE00001936.1	DEEP	macrophage	Tx_Wk	Tx_Wk	9	Tx_Wk	0.68	0.68
IHECRE00001936.1	DEEP	macrophage	Tx_Str	Tx_Str	10	Tx_Str	0.92	0.92
IHECRE00003810.1	DEEP	hepatocyte	Het_F	Rep	1	Rep	0.42	0.28
IHECRE00003810.1	DEEP	hepatocyte	Mix	Mix	2	Mix	0.78	0.78
IHECRE00003810.1	DEEP	hepatocyte	Tx_Str	Tx_Str	3	Tx_Str	0.9	0.9
IHECRE00003810.1	DEEP	hepatocyte	NS	NS	4	NS	0.95	0.95
IHECRE00003810.1	DEEP	hepatocyte	Pr	Pr	5	Pr	0.89	0.89
IHECRE00003810.1	DEEP	hepatocyte	ReprPC	ReprPC	6	ReprPC	0.74	0.74
IHECRE00003810.1	DEEP	hepatocyte	Tx_Wk	Tx_Wk	7	Tx_Wk	0.62	0.62
IHECRE00003810.1	DEEP	hepatocyte	Het_F	Het_F	8	Het_F	0.62	0.62
IHECRE00003810.1	DEEP	hepatocyte	Tx_Wk	Enh	9	Enh	0.52	0.21
IHECRE00003810.1	DEEP	hepatocyte	Het_C	Het_C	10	Het_C	0.9	0.9
IHECRE00001906.1	DEEP	macrophage	NS	NS	1	NS	0.93	0.93
IHECRE00001906.1	DEEP	macrophage	Pr	Pr	2	Pr	0.95	0.95
IHECRE00001906.1	DEEP	macrophage	Mix	Rep	3	Mix	0.37	0.33
IHECRE00001906.1	DEEP	macrophage	Tx_Wk	Tx_Wk	4	Tx_Wk	0.84	0.84
IHECRE00001906.1	DEEP	macrophage	Het_C	Het_C	5	Het_C	0.91	0.91
IHECRE00001906.1	DEEP	macrophage	Het_F	Het_F	6	Het_F	0.69	0.69
IHECRE00001906.1	DEEP	macrophage	ReprPC	Mix	7	Rep	0.36	0.2
IHECRE00001906.1	DEEP	macrophage	Enh	Enh	8	Enh	0.42	0.42
IHECRE00001906.1	DEEP	macrophage	Tx_Str	Tx_Str	9	Tx_Str	0.9	0.9
IHECRE00001906.1	DEEP	macrophage	Enh	ReprPC	10	ReprPC	0.49	0.32
IHECRE00001904.1	DEEP	macrophage	Tx_Str	Tx_Str	1	Tx_Str	0.94	0.94
IHECRE00001904.1	DEEP	macrophage	ReprPC	ReprPC	2	Rep	0.41	0.41
IHECRE00001904.1	DEEP	macrophage	Het_F	Het_F	3	Het_F	0.46	0.46
IHECRE00001904.1	DEEP	macrophage	Mix	Mix	4	Mix	0.42	0.42
IHECRE00001904.1	DEEP	macrophage	Tx_Wk	Tx_Wk	5	Tx_Wk	0.51	0.51
IHECRE00001904.1	DEEP	macrophage	Pr	Pr	6	Pr	0.93	0.93
IHECRE00001904.1	DEEP	macrophage	Pr	Rep	7	ReprPC	0.38	0
IHECRE00001904.1	DEEP	macrophage	Het_C	Het_C	8	Het_C	0.86	0.86
IHECRE00001904.1	DEEP	macrophage	NS	NS	9	NS	0.95	0.95
