EpiRR,states,coverage,CpG,CpGIsland,DNA_methyl,enhancer,geneExpression,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9me3,LINE,LTR,PMDs_Common,RC,RefSeqExon,RefSeqGene,RefSeqTES,RefSeqTSS,RefSeqTSS2kb,Retroposon,RNA,SINE,TandemRepeats,Unknown
IHECRE00001964.2,1,1.19587,0.0421799663834254,39.05831,0.149339692242833,0.57959,36.245,13.6290577571669,1.5356239460371,2.9437447301855,6.66871311129848,35.7998260961214,0.486403878583474,0.22534,0.31032,0.49587,0.32629,6.47017,1.6169,3.13983,38.48301,21.2607,0.12458,2.42691,0.93008,0.53453,0.25457
IHECRE00001964.2,2,2.83615,0.0121584394208711,0.23326,0.509436969487247,1.05357,6.12,8.72954790644656,2.30257292323977,5.65791723492173,8.83594561035683,1.8448103893989,0.829207971176746,0.55966,1.14019,0.59125,1.10247,0.866,1.18408,1.11827,0.88344,1.68968,0.18425,1.3012,1.51286,0.63481,1.06646
IHECRE00001964.2,3,0.90962,0.0134685702677129,0.64256,0.746502516664399,0.98424,81.835,5.87992563370063,1.87169546093502,12.3504511857797,8.34702761529044,1.67859248174851,0.662449553348751,0.44711,0.55716,0.46093,0.90183,3.63902,2.16002,3.97997,1.05892,2.13472,0.21498,1.27657,1.51707,0.54821,0.66045
IHECRE00001964.2,4,13.18638,0.0112530941023937,0.23053,0.812257397463727,1.08139,7.79,1.6304352793328,2.79832057580258,7.32176396664001,3.35414143722152,0.994099166000229,0.741802810464983,0.91584,0.82002,0.53317,1.21505,1.09112,1.64091,1.32613,0.42625,0.91437,2.12204,1.29083,1.49755,0.76044,1.10352
IHECRE00001964.2,5,7.79687,0.0114820254322934,0.44635,0.87177558739255,0.99379,30.165,1.50131805157593,2.18610888252149,13.2667048710602,2.99095702005731,0.96145558739255,0.60923782234957,0.61553,0.4344,0.48468,0.84671,4.09629,2.26671,3.26529,0.44294,0.62469,0.18135,1.58966,1.59969,0.6636,0.69646
IHECRE00001964.2,6,42.01779,0.00874648044548656,0.19409,0.611944782449467,0.91063,0.18,0.69158977872813,4.08582702281239,3.22618049074391,2.50999444752915,0.854891490543079,1.63288716670408,1.07678,0.90645,0.78789,1.00822,0.42636,0.69718,0.55384,0.35409,0.52845,1.18863,0.94928,0.83811,1.32956,1.0231
IHECRE00001964.2,7,10.08099,0.0129805040132779,0.94014,0.54749292448028,1.03922,0.09,0.834880785128174,8.29999185551687,3.1236128927168,3.61574328589172,0.967025023924419,1.49849327062081,0.66996,1.02235,0.76667,0.91851,1.31696,1.0065,1.45118,1.03016,1.54676,0.3139,0.92303,1.23158,0.72176,1.0232
IHECRE00001964.2,8,1.01491,0.027486575693388,24.63595,0.395414463225513,0.84935,0.18,1.61869383252766,6.74132952665218,3.02074749375466,9.23326736527918,3.80730298802842,3.07278655549427,0.44938,1.14873,0.80059,0.36747,3.98432,1.10054,2.15246,11.32859,7.85516,0.53548,1.38557,0.78175,0.62918,0.44416
IHECRE00001964.2,9,9.35351,0.00780571334902808,0.22915,0.371712787732969,1.13078,0.01,0.415340970302007,2.62455560742629,1.23100154415197,4.98934894243545,0.920907099508026,11.2718677056775,1.12077,2.15096,2.34303,0.85084,0.28896,0.62364,0.32285,0.2884,0.26844,0.61126,0.70198,0.6834,0.89119,0.93657
IHECRE00001964.2,10,11.60792,0.00642130220817108,0.06423,0.377841352068899,1.14041,0.01,0.344278961341708,2.44355371365667,1.17897429255974,3.46906041572233,0.852159554490708,7.28334844266011,1.54409,1.03464,1.97615,1.12724,0.19232,0.60662,0.29315,0.17042,0.22681,0.89319,0.48817,0.53245,0.83948,1.16941
IHECRE00000301.2,1,0.27665,0.0766696104563001,90.78064,0.0286726546906188,0.3985,33.17,21.9037757817698,0.334206586826347,1.56557717897538,4.17751996007984,59.7653858948769,0.192240518962076,0.05141,0.08749,0.44806,0,12.96974,1.70112,2.55729,110.58637,25.88561,0.10436,1.88964,0.28625,0.75378,0.04685
IHECRE00000301.2,2,0.56637,0.0371438427571034,23.74153,0.14207918299831,0.6536,8.715,10.2159193066993,0.632582976734151,1.32018411305692,24.8747887374591,23.7158473875364,0.310852601675716,0.23095,0.2588,0.42922,0.44422,4.93374,1.64564,3.93024,17.64167,17.76827,0.09104,2.04588,0.71485,0.43024,0.4233
IHECRE00000301.2,3,0.60239,0.012738986435465,0.18338,0.49182654028436,1.00669,3.48,7.88587677725118,0.194218009478673,1.24277251184834,32.442345971564,2.9710663507109,0.285473933649289,0.52042,0.82446,0.45242,0.80086,1.46878,1.43962,1.70726,1.27007,2.51317,0.07664,1.35656,1.29486,0.62087,0.99563
IHECRE00000301.2,4,3.38486,0.0128790318784806,0.30764,0.627826847848466,1.00855,3.59,1.3371365497678,0.483071397524764,1.15485667879121,15.3867785327019,1.54424885045639,0.351188433646741,0.63987,0.7836,0.47893,1.05313,1.24693,1.51059,1.46616,1.15897,3.2886,0.22351,1.37477,1.38177,0.7123,0.91117
IHECRE00000301.2,5,0.3612,0.015319129355328,1.79248,0.782846975088968,0.88511,29.24,2.18183905406957,0.214556308116175,9.34944323269429,15.5921248995523,1.76512455516014,0.279589025370222,0.39333,0.38057,0.38558,0.56366,6.62956,2.24356,6.57353,1.29958,2.30578,0.0819,1.34817,1.07584,0.53176,0.465
IHECRE00000301.2,6,4.89288,0.0132091088858078,0.84923,0.920444023395667,0.96222,5.68,0.667044237581349,0.0891547903451685,7.10184117307851,2.10488920009885,0.958892824779636,0.219149023807562,0.5276,0.36727,0.45802,0.72304,5.00399,2.25369,4.28069,0.55756,0.70228,0.50762,1.56111,1.61477,0.6236,0.57239
IHECRE00000301.2,7,1.7883,0.00829904598343635,0.68287,0.861058729524571,1.03617,0.18,0.285707151418298,1.21034758290052,0.777242309228925,0.626697962445066,0.992459049141031,4.21906212544946,1.32381,2.40928,1.37103,0.49189,1.22281,0.81093,1.24668,0.47385,0.52642,0.83964,2.02457,0.76228,1.53461,0.42584
IHECRE00000301.2,8,85.53453,0.0108951305043416,0.18208,0.882165767760832,1.01128,0.05,0.258313390720434,0.709477801192985,0.947820302175233,1.60527020752223,0.831959674250813,0.51237186127085,1.06412,1.04048,1.06334,1.05336,0.60332,0.89386,0.69184,0.35415,0.53173,1.10935,0.90632,0.95992,1.04173,1.05389
IHECRE00000301.2,9,2.1237,0.0163283426218003,2.87757,0.677578785811733,0.87385,0,0.489802182810368,8.87861527967258,0.71306275579809,1.70844133697135,1.90165416098226,1.49427012278308,0.57893,0.657,0.78385,0.4622,1.88028,1.04086,2.20683,2.50028,5.21961,0.0964,1.29493,1.03082,0.63176,0.99436
IHECRE00000301.2,10,0.46912,0.0588183297512798,69.44533,0.132243099273608,0.56102,0,1.11554479418886,20.7513801452784,0.950024213075061,15.0091041162228,9.09326876513317,3.67036319612591,0.0772,0.09572,0.61915,0,8.20399,1.41332,3.5459,32.1435,17.80677,0.02077,1.76947,0.23632,0.70205,0.16604
IHECRE00001958.3,1,12.08354,0.0114427120243762,0.8395,0.376024138904574,1.05234,0.13,2.11220708639187,10.5964850367024,2.93975861095426,4.8850578769057,0.323863636363636,1.21845002823264,0.69846,1.00807,0.79161,1.14107,1.14007,0.98089,1.27837,0.85338,1.40786,0.23614,0.93092,1.21747,0.74294,1.18261
IHECRE00001958.3,2,48.58469,0.00724083844535203,0.1683,0.421547966308969,0.94426,0.28,2.02752616560698,4.69143377467667,3.02676382925783,3.59477058440493,0.231419374990074,1.95040313828464,1.12835,0.83301,0.89126,1.03216,0.43395,0.77945,0.56365,0.30911,0.46542,1.37153,0.89755,0.82729,1.24749,1.02985
IHECRE00001958.3,3,15.27608,0.00714485852044256,0.16094,0.387236222977612,1.12616,0.015,1.69154707881914,4.30450108005827,1.18170933873642,2.62633332775164,0.254885379862355,8.42674023342655,1.38173,1.83592,2.22831,0.90649,0.22015,0.5815,0.29256,0.21091,0.24117,1.09332,0.65829,0.60188,0.92293,0.96608
IHECRE00001958.3,4,1.28729,0.010372854878376,0.30524,0.608764036670226,1.0557,4.415,8.98418688560804,4.20934428040205,11.0600493354442,8.70549685210412,0.557895511947277,3.72473399359376,0.96825,2.11487,0.64296,1.09413,1.74613,1.35411,1.64609,0.44753,0.84195,3.59806,1.26769,1.36706,0.71455,0.60723
IHECRE00001958.3,5,10.97464,0.010524132410968,0.43442,0.639859469928409,1.02369,16.675,3.50717637158042,3.7680100987976,14.2295574282651,6.33869015367234,0.405104734675997,0.774166215141279,0.72331,0.52301,0.49669,0.92281,3.16602,2.09612,2.7503,0.39301,0.60234,0.64432,1.54047,1.65486,0.69946,0.84893
IHECRE00001958.3,6,2.73349,0.0120274621013666,0.45575,0.554414903144912,1.02843,30.34,5.84716855600194,3.3977903733463,14.9067529875381,23.0353642621357,1.06523324547711,0.702244172061721,0.5932,0.68466,0.48602,1.08675,2.1052,1.92687,2.11096,0.73485,1.76493,0.18173,1.4395,1.56715,0.66905,0.8362
IHECRE00001958.3,7,1.57025,0.0116653612789958,0.27558,0.507727714677156,1.04102,49.155,21.1964798691828,2.85585804569762,15.1753104697927,43.9405577407522,1.89423034427896,0.857802625182304,0.53809,0.87856,0.52193,0.94007,2.08345,1.808,2.25497,0.85412,1.32483,0.14893,1.38653,1.52446,0.61748,0.7724
IHECRE00001958.3,8,2.11652,0.0113047848246972,0.22323,0.297220057973155,1.05757,2.065,23.7452135221461,3.47069032365268,6.46817015305651,41.7023336964348,2.10511788490298,1.00550191089858,0.61201,1.26038,0.61713,1.01927,0.70042,1.02092,0.98975,0.99659,1.6274,0.17166,1.24692,1.49376,0.70707,1.19692
IHECRE00001958.3,9,1.403,0.0393226511780272,35.2608,0.113638544018059,0.62536,34.35,36.8496755079007,2.70939145974417,5.05340011286682,44.103414221219,36.294723476298,1.89263544018059,0.25656,0.42784,0.50708,0.3698,5.94017,1.61536,3.07723,33.93341,19.11812,0.22229,2.31344,1.01166,0.54811,0.29006
IHECRE00001958.3,10,3.97049,0.0150866544487236,5.65118,0.311483033263104,1.01976,0.4,4.12724254612782,7.15958788227032,4.35433026878631,22.6461405860946,1.40119629062121,1.2369277916108,0.58577,1.08812,0.66709,0.89617,1.49637,1.03629,1.17689,3.39782,2.97827,0.17646,1.14664,1.18903,0.66864,1.10309
IHECRE00000008.3,1,6.86549,0.0125288789612108,0.75579,0.925650789255054,0.98158,3.565,1.47755123234561,0.265888950429244,6.53562032677929,1.07068679036278,1.38425990030462,0.385973414566602,0.58475,0.39815,0.46322,0.74106,4.49379,2.26317,3.79472,0.48482,0.63996,0.58287,1.5225,1.59476,0.65004,0.64467
IHECRE00000008.3,2,0.35158,0.0142449822210652,1.23515,0.794453461831093,0.91134,13.15,2.63549327922901,0.240616282018767,7.11076591427847,8.14278468171443,2.12668019274664,0.290451432919097,0.40556,0.31404,0.42514,0.07593,5.66102,2.26763,6.06633,1.6646,2.66139,0.08622,1.09346,1.10545,0.55106,0.512
IHECRE00000008.3,3,3.29418,0.0129537471758828,0.91687,0.676729261594636,0.99571,1.23,2.13828416256271,0.429979595280833,1.00650496310274,6.73599668615087,2.13013761679017,0.388847977171262,0.59842,0.70083,0.46139,1.10586,1.32321,1.48659,1.70871,1.73402,3.4972,0.13644,1.31088,1.37201,0.67582,1.09027
IHECRE00000008.3,4,0.36784,0.012553544642007,0.6532,0.625606292331221,0.9988,3.105,7.7315927463404,0.179293205156216,1.20234323792877,10.6948874808827,2.88169106401573,0.316473672711383,0.47539,0.69121,0.47283,0.43546,1.56719,1.46771,1.84828,1.25956,2.69513,0.06995,1.28467,1.01994,0.60921,1.01261
IHECRE00000008.3,5,0.2211,0.018373052237648,6.35341,0.331282281059063,0.93491,6.12,6.52338085539715,0.128391038696538,0.723177189409369,3.59560081466395,2.75482688391039,0.240162932790224,0.44861,0.69353,0.47153,0.98792,1.75619,1.31758,2.37257,12.24221,5.08072,0.24649,1.48036,1.32137,0.58475,0.83406
IHECRE00000008.3,6,0.28015,0.0662596085794368,70.48469,0.0440974212034384,0.48059,9.1,9.95442003608193,0.139976652870636,0.455109837631328,0.865329512893983,18.9835508861297,0.0847925289186034,0.09403,0.07987,0.4645,0,10.41885,1.86455,2.62391,58.36187,25.75391,0.04706,0.91563,0.29962,0.59778,0.10054
IHECRE00000008.3,7,0.55377,0.0496381831795563,53.1881,0.148731939963529,0.52953,1.595,3.04432599242531,1.09795670266985,0.58830130453079,3.01996539954178,13.0005610885117,0.460560153364193,0.16848,0.13715,0.48535,0.32675,7.57093,1.69715,2.64861,47.59562,23.64951,0.04414,1.68787,0.49759,0.63294,0.29617
IHECRE00000008.3,8,2.35743,0.0161672522809465,7.97682,0.657775578969888,0.93862,0,1.34264855324384,4.94378777343959,0.484516232550677,1.07822110499011,1.70169011071295,1.99237845643686,0.78783,0.87365,0.83558,1.04712,1.94311,1.01367,1.78747,3.91259,4.67483,0.16444,1.21035,0.79342,0.64283,1.0593
IHECRE00000008.3,9,83.77619,0.0105634859023932,0.24453,0.876697170055563,1.00753,0.02,1.25405273534742,0.888475096090654,0.944431720869098,0.878701730627527,1.30247147153128,0.821659729552108,1.05984,1.05054,1.07076,1.03684,0.57673,0.86803,0.67403,0.40994,0.58126,1.12292,0.91698,0.95465,1.0507,1.0449
