EpiRR,states,coverage,CpG,CpGIsland,DNA_methyl,enhancer,geneExpression,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9me3,LINE,LTR,PMDs_Common,RC,RefSeqExon,RefSeqGene,RefSeqTES,RefSeqTSS,RefSeqTSS2kb,Retroposon,RNA,SINE,TandemRepeats,Unknown
IHECRE00000161.3,1,13.50599,0.0122099871891266,0.35798,0.904007968279385,1.0592,0.01,1.3582008463914,0.841949750276412,0.0206641503679134,0.585373060353044,1.23518815052042,0.44830149834153,0.77742,0.91928,0.61839,1.19189,1.08911,1.15453,1.19763,0.58066,0.88804,0.26513,1.44214,1.81139,0.77168,1.01975
IHECRE00000161.3,2,8.96279,0.0105492690971027,0.71833,0.842236631728549,1.05202,0,1.58222301178421,2.78400544797773,0.0584769349203529,0.760821934032096,1.54709243797004,2.2938502990466,1.11686,1.31665,0.66344,1.12135,1.0254,0.88971,1.15942,0.75476,1.33384,0.17288,1.10725,0.97345,0.75366,1.17122
IHECRE00000161.3,3,0.97895,0.0316212343017896,31.24167,0.446146794997708,0.78164,0.01,1.87068683297322,4.22768938649905,0.0925489425784063,5.95822693642375,4.43580174163557,2.32897924441825,0.34664,0.60987,0.55956,0.38978,4.53594,1.2436,2.56373,16.27766,10.76529,0.03101,1.19635,0.47885,0.65984,0.59292
IHECRE00000161.3,4,4.8872,0.0123358609756903,0.7827,0.882948296809612,1.04336,0,0.057777977770778,0.0390136345227917,0.00340863069792557,0.0250753723619673,0.0516919407820726,0.131980380686676,2.56605,1.19043,1.09725,0.18871,0.5054,0.77119,0.61186,0.48221,0.67079,16.69888,0.75847,0.73102,0.61964,0.23866
IHECRE00000161.3,5,4.44267,0.0109930369597923,0.25151,0.839530728918533,1.03726,0.185,1.72085078107369,0.712388104611218,0.124802537549209,3.11931120082245,1.54668889947594,0.588776610415988,0.74657,0.90886,0.49505,0.79115,0.89293,1.28075,1.18509,0.7476,1.72646,0.21131,1.37129,1.53245,0.76764,1.20242
IHECRE00000161.3,6,4.94417,0.0116651819328991,0.4918,0.705640748477191,0.99971,3.465,2.52941906834748,0.287829211644926,0.355760382126528,9.21206853737273,2.59921997107758,0.254743715216407,0.59434,0.65368,0.46162,1.00979,1.73116,1.5818,2.11019,1.25215,2.78369,0.10949,1.29521,1.28725,0.67702,1.04676
IHECRE00000161.3,7,9.75212,0.00402533424210906,0.46359,0.836819283598169,0.26088,0,0,0,0,0,0,0,0.42816,0.37319,0.26485,0.17313,0.28115,0.19676,0.4424,0.39066,0.37715,0.25163,0.69667,0.26849,3.13931,0.14619
IHECRE00000161.3,8,42.43463,0.00670715038914829,0.04278,0.879215087969876,1.14385,0,1.83647666039083,1.0658962539765,0.0218139323508407,0.446893462312537,1.77965331428942,1.67210932935143,1.1795,1.28663,1.60318,1.291,0.33464,0.80393,0.37776,0.23179,0.27543,0.13247,0.71271,0.71944,0.8248,1.30688
IHECRE00000161.3,9,0.96253,0.0440784280041912,40.58734,0.130171871725005,0.58942,6.39,5.81555229511633,0.11713127925662,0.0521553832180535,4.19918954796339,15.3489135750716,0.0231956962202194,0.21254,0.2056,0.47186,0.17762,6.62091,1.70518,2.87684,41.59782,20.89015,0.10439,1.89094,0.64753,0.55328,0.3616
IHECRE00000161.3,10,9.12895,0.0129560890430102,0.58777,0.930856433813823,1.00776,3.23,1.5994772691272,0.139447700512171,1.83937905908443,1.16429061724484,1.3890120914515,0.122392945773272,0.64878,0.40135,0.46475,0.81045,3.65304,2.21943,3.19003,0.42769,0.58365,0.39136,1.57379,1.73358,0.68388,0.68299
IHECRE00000285.2,1,4.69393,0.0133791822838381,0.81257,0.919399599255761,0.94653,5.6,2.43641763274653,0.259839702304279,15.787211965078,1.64745241162158,0.263489337340776,0.596321740374982,0.52145,0.32424,0.43926,0.8167,5.17845,2.26246,4.49989,0.58466,0.76168,0.23678,1.57886,1.56998,0.62693,0.56706
IHECRE00000285.2,2,6.39661,0.0117974194876298,0.2918,0.926456879261933,1.06245,1.28,1.37695547533093,0.339570798235058,4.10176494183714,0.880405134376254,0.131247492980345,0.904632972322503,0.85785,0.59802,0.48878,0.8625,2.21154,2.12641,2.17581,0.36079,0.53188,1.46469,1.4427,1.71231,0.73179,0.94609
IHECRE00000285.2,3,12.65766,0.0115775486968601,0.32404,0.844202630497328,1.06207,0,1.32268547061241,3.84684545828196,0.452386457048911,0.860819975339087,0.444949650637074,1.60676120016441,0.74645,0.97859,0.85781,1.27358,1.03009,1.01351,1.10748,0.67143,1.06633,0.12427,1.01566,1.09385,0.74758,1.32758
IHECRE00000285.2,4,11.95534,0.00729697257118949,0.48385,0.865548369855692,0.40328,0,0,0,0.0000801710315339391,0,0,0.00237840726884019,0.89096,0.44953,0.41678,0.15334,0.30517,0.29539,0.45947,0.38659,0.40419,3.54109,0.68904,0.29606,2.68217,0.15941
IHECRE00000285.2,5,5.90887,0.0120925716158925,0.22706,0.793600786910417,1.03565,0.33,1.99265870159781,0.89177582649585,1.2093373638501,4.55455112518593,0.546010268221295,0.814845736768869,0.67895,0.8641,0.47857,0.87436,1.02356,1.39493,1.21807,0.76409,1.97365,0.3423,1.31998,1.43183,0.75973,1.13899
IHECRE00000285.2,6,2.67536,0.0143173611015076,0.64749,0.562572846105402,0.9789,7.275,6.00307973518885,0.679162250587531,2.3625485768705,19.4805922922139,3.22521235580542,0.691312228315131,0.5778,0.71486,0.46333,1.01743,1.88797,1.59463,2.09716,1.50275,3.86999,0.12621,1.44944,1.20887,0.67448,0.92506
IHECRE00000285.2,7,0.99951,0.0438598278957421,40.61773,0.139753968253968,0.63325,8.595,28.7933597883598,0.899867724867725,1.61843915343915,20.365582010582,63.8824074074074,0.401931216931217,0.21274,0.29507,0.43704,0.35154,6.70574,1.61161,3.08513,41.79334,17.62276,0.06584,1.88368,0.6053,0.5726,0.4549
IHECRE00000285.2,8,39.41905,0.00726638133044581,0.05921,0.878382061157796,1.1459,0,1.03232959850607,1.60731792717087,0.288457049486461,0.349439775910364,0.113795518207283,3.19714344070962,1.26927,1.39543,1.62481,1.22702,0.29057,0.74202,0.34518,0.20267,0.24319,0.39568,0.72923,0.70316,0.81926,1.2263
