EpiRR,states,coverage,CpG,CpGIsland,DNA_methyl,enhancer,geneExpression,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9me3,LINE,LTR,PMDs_Common,RC,RefSeqExon,RefSeqGene,RefSeqTES,RefSeqTSS,RefSeqTSS2kb,Retroposon,RNA,SINE,TandemRepeats,Unknown
IHECRE00004616.1,1,9.48112,0.0061726962966749,0.49499,0.789135346283784,0.24571,0.01,0,0,0,0,0,0,0.41499,0.34453,0.24474,0.18234,0.2562,0.18405,0.41019,0.36737,0.35744,1.90293,0.68356,0.23787,3.18651,0.13066
IHECRE00004616.1,2,1.38075,0.0500337409244981,49.64586,0.0639178934273274,0.57978,26.615,12.6043126684636,2.46207754509641,2.79618494712834,6.99348952933859,6.00186605846983,1.77194692100352,0.13149,0.17722,0.55161,0.11601,7.11931,1.51081,3.44508,40.54775,19.5079,0.16279,2.12844,0.47365,0.59744,0.31032
IHECRE00004616.1,3,9.34694,0.0065902702818539,0.04192,0.887152356913142,1.13559,0.52,0.647001165964099,5.24695375863262,5.4141991364178,2.34283188335234,1.83094161210553,7.71066152446603,2.05394,1.88677,1.27472,0.79509,0.45417,0.81778,0.48303,0.16624,0.24846,0.1596,0.86447,0.61433,0.69012,0.63891
IHECRE00004616.1,4,5.2702,0.0132196503495136,1.42295,0.617653370969007,1.03942,9.33,0.758778856816425,4.32515093473123,3.48811003953986,4.25272466592739,1.61966687948744,3.05294756768261,0.66985,0.86748,1.16506,1.1259,1.14291,0.892,1.40898,1.28359,1.75242,0.12879,0.9355,0.89681,0.77303,1.26382
IHECRE00004616.1,5,19.85873,0.00883420365746149,0.09532,0.862677335265442,1.1175,0.06,0.623711380801247,4.56181828205108,3.8188687715098,2.37997038833805,1.48065791442545,3.25310095529112,0.88316,1.07774,1.18091,1.38597,0.59158,0.87055,0.68187,0.35325,0.53366,0.12391,0.88447,1.01,0.79596,1.42461
IHECRE00004616.1,6,9.23653,0.0108160961042958,0.13297,0.818289564187856,1.05659,12.73,1.50239894006878,2.84401815414106,3.84279190392964,6.65926030332074,1.91671364943339,2.47587528894402,0.67803,0.80003,0.62069,1.15118,1.48831,1.52246,1.66214,0.56912,1.37558,0.10469,1.18386,1.24771,0.73364,1.27841
IHECRE00004616.1,7,16.95054,0.00670441105632359,0.04875,0.704655100488332,1.12619,0.01,0.538318078083973,6.62851218375009,4.80620107482025,2.19475595690903,1.69240018649849,6.22252214669579,1.39423,1.42629,1.87548,1.1107,0.30199,0.64042,0.39688,0.24853,0.32924,0.07569,0.64504,0.60399,0.87825,1.09219
IHECRE00004616.1,8,4.0915,0.0111625348961374,0.11056,0.433828270137345,1.04322,23.955,5.12464160304114,2.95053316581296,3.85525595180568,14.930140781547,3.31848737691011,2.62201067405474,0.48501,0.7531,0.6436,0.84495,1.39624,1.43509,1.67885,1.29225,2.46602,0.04466,0.9752,0.86042,0.62549,1.55163
IHECRE00004616.1,9,20.60298,0.0126173579289349,0.34508,0.93515645383227,1.04976,2.09,0.772780071123501,2.80621973230401,3.68255329795028,2.7700548615951,1.36103218427777,2.35831590986258,0.78251,0.74251,0.55749,1.15019,1.81521,1.57782,1.60307,0.3796,0.7529,0.31817,1.49129,1.79302,0.74232,0.95604
IHECRE00004616.1,10,3.7807,0.0180300684776364,1.9462,0.840836847582014,1.01572,0.07,0.128878909031163,1.13270168136262,1.10613943808533,0.701714223122844,0.339613341365902,1.36694232980996,2.01422,0.77598,0.99697,0.16077,0.99115,0.85671,1.0305,0.69278,0.96056,18.01637,0.90507,1.14804,0.82415,0.27575
IHECRE00000285.2,1,5.31556,0.0134966883880981,0.74916,0.927381300451281,0.95877,5.6,2.26037627915846,0.266223860675014,14.9748299752113,1.37113074429543,0.226339541091972,0.647015826606496,0.55524,0.33904,0.44906,0.82367,4.89938,2.25552,4.22988,0.52376,0.7098,0.34079,1.63471,1.62809,0.63956,0.59218
IHECRE00000285.2,2,7.98207,0.0124151391855606,0.25745,0.928437663373965,1.06164,1.28,1.52186115620615,0.399705582918306,2.88912582890791,1.58268442341029,0.193888781883719,0.814764879068872,0.85947,0.66103,0.48379,0.92041,1.71801,2.0352,1.74883,0.38321,0.83199,1.45037,1.42623,1.70501,0.74635,0.96863
IHECRE00000285.2,3,11.75225,0.0114670513708626,0.27689,0.891606308411215,1.07158,0,1.36247079439252,3.87520443925234,0.506405763239875,0.757622663551402,0.473276869158879,2.09470404984424,0.85357,1.13568,0.84262,1.40017,0.97122,0.97454,1.03101,0.53821,0.92784,0.12359,1.0551,1.0414,0.73734,1.29342
IHECRE00000285.2,4,12.00983,0.00709773106404646,0.46167,0.861843299179283,0.40516,0,0,0,0.0000254880970586736,0,0,0.00486822653820666,0.89805,0.45405,0.42464,0.1567,0.30296,0.29387,0.45566,0.37899,0.40103,3.42989,0.6818,0.29598,2.67467,0.16459
IHECRE00000285.2,5,7.84252,0.0117388003535285,0.24476,0.754308559935322,1.06519,0.33,1.39364659949125,1.90112495809753,0.531057125391911,2.12504683217321,0.406439177331256,1.13454143907874,0.74678,1.03523,0.81666,0.96384,0.79392,0.9716,1.02794,0.76993,1.15415,0.23756,0.9446,1.05254,0.87294,1.26173
IHECRE00000285.2,6,3.85149,0.0132744473110338,0.32649,0.643699425953524,0.9964,7.275,4.5365333664514,0.611249103052382,2.59433819064967,14.3487953303527,1.68047276039079,0.644415466136778,0.60467,0.72782,0.46421,1.01719,1.7901,1.59483,2.01055,1.05019,3.05593,0.15582,1.30264,1.30927,0.69664,0.95021
